id	alter	zivilstand	geschlecht	pihh	kaufkraft	einkauf
1	50	Single	Mann	1	hoch	10951
2	86	Verheiratet	Mann	2	sehr hoch	23091
4	65	Single	Mann	1	sehr hoch	18866
6	58	Single	Mann	1	mittel	2243
7	58	Konkubinat	Mann	3	hoch	7669
9	54	Verheiratet	Mann	2	sehr hoch	23643
10	43	Verheiratet	Mann	5	mittel	5993
12	84	Konkubinat	Mann	2	sehr hoch	22379
13	52	Konkubinat	Mann	4	sehr hoch	12499
14	53	Verheiratet	Mann	2	mittel	7439
15	65	Konkubinat	Mann	6	sehr hoch	11612
18	49	Verheiratet	Mann	2	sehr hoch	22730
20	45	Verheiratet	Mann	3	hoch	7631
21	63	Konkubinat	Mann	4	hoch	9581
22	40	Verheiratet	Mann	2	hoch	12114
24	42	Single	Frau	1	tief	1020
25	42	Konkubinat	Mann	1	sehr hoch	17121
26	51	Verheiratet	Mann	2	sehr hoch	21171
28	41	Verheiratet	Mann	4	mittel	5197
29	45	Konkubinat	Frau	2	sehr hoch	9958
30	63	Single	Frau	1	hoch	14728
31	40	Konkubinat	Mann	2	sehr hoch	17836
32	66	Verheiratet	Mann	2	sehr hoch	23247
34	38	Verheiratet	Mann	2	hoch	11925
35	86	Verheiratet	Mann	2	hoch	14196
36	47	Verheiratet	Mann	2	hoch	15271
37	49	Verheiratet	Mann	2	sehr hoch	18442
38	86	Verheiratet	Mann	2	hoch	10184
41	41	Verheiratet	Mann	2	hoch	4413
42	54	Single	Frau	1	hoch	15837
44	47	Verheiratet	Mann	2	mittel	3413
45	64	Verheiratet	Mann	2	sehr hoch	19843
46	76	Verheiratet	Mann	2	sehr hoch	16062
48	65	Konkubinat	Mann	2	sehr hoch	24212
49	81	Verheiratet	Mann	3	sehr hoch	21386
50	49	Verheiratet	Mann	2	hoch	8000
52	49	Verheiratet	Mann	8	mittel	3297
53	66	Konkubinat	Mann	6	hoch	10289
55	90	Single	Frau	1	mittel	5583
56	32	Verheiratet	Mann	3	hoch	13136
57	47	Konkubinat	Mann	3	mittel	5205
