Antworten,Abgegeben:,Institution,Abteilung,Kurs,Gruppe,ID,Vollständiger Name,Anmeldename,Klasse,Alter,Geschlecht,Haarfarbe,Augenfarbe,Koerpergroesse,Sport,Schuhgrösse,Handspanne,Geschwister,Postleitzahl,Schlafzimmer,Ausbildung,Programmierkenntnisse,Statistische Vorkenntnisse,Anreisezeit an die ZHAW
44275,19.09.2024 11:29:24,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym1,NA,DS24t,32,männlich,braun,Braun,176,3,42,35,2,8105,2. Stock,NA,gering,gering,40
44266,19.09.2024 11:28:48,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym2,NA,DS24t,24,weiblich,braun,grün,163,4,41,17,1,8413,1. Stock,FMS,gering,gering,30
44253,19.09.2024 11:28:52,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym3,NA,DS24t,26,männlich,braun,Blau,196,3,47.0,NA,2,8038,0 (Parterre),Informatiker,mittel,mittel,60
44254,19.09.2024 11:27:55,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym4,NA,DS24t,22,männlich,braun,braun,170,8,42,18,1,8305,2. Stock,Applikationsentwickler,mittel,gering,25
44263,19.09.2024 11:27:45,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym5,NA,DS24t,22,männlich,braun,brown,175,6,43,17,1,8472,1. Stock,NA,mittel,gering,30
44257,19.09.2024 11:28:54,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym6,NA,DS24t,25,männlich,braun,braun,181,6,44,17,0,8737,0 (Parterre),Applikationsentwickler,gross,gering,90
44268,19.09.2024 11:28:48,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym7,NA,DS24t,28,männlich,braun,Blau,173,4,41,23,2,5432,4. Stock,Buchhalter,gering,gross,55
44251,19.09.2024 11:28:29,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym8,NA,DS24t,29,männlich,schwarz,braun,168,4,42,20,1,8600,1. Stock,Gymnasium,gering,mittel,40
44273,19.09.2024 11:28:07,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym9,NA,DS24t,21,männlich,schwarz,braun,172,5,43,18,1,8200,0 (Parterre),KV,gering,gering,35
44262,19.09.2024 11:28:20,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym10,NA,DS24t,22,männlich,blond,Grün/Braun,184,4,46,17,1,8303,1. Stock,Automatiker,mittel,gering,20
